Date,Close
2016-07-19,11.75
2016-07-18,11.04
2016-07-17,11.24
2016-07-16,11.72
2016-07-15,11.93
2016-07-14,11.6
2016-07-13,10.47
2016-07-12,10.55
2016-07-11,10.51
2016-07-10,10.95
2016-07-09,10.9
2016-07-08,11.31
2016-07-07,10.14
2016-07-06,10.55
2016-07-05,10.53
2016-07-04,11.42
2016-07-03,11.78
2016-07-02,12.14
2016-07-01,12.35
2016-06-30,12.5
2016-06-29,12.77
2016-06-28,12.22
2016-06-27,13.96
2016-06-26,13.75
2016-06-25,14.31
2016-06-24,14.29
2016-06-23,13.75
2016-06-22,13.25
2016-06-21,12.94
2016-06-20,11.9
2016-06-19,12.43
2016-06-18,11.41
2016-06-17,15.61
2016-06-16,20.7
2016-06-15,18.45
2016-06-14,18.73
2016-06-13,17.73
2016-06-12,15.8
2016-06-11,14.15
2016-06-10,13.97
2016-06-09,14.45
2016-06-08,14.49
2016-06-07,14.5
2016-06-06,14.03
2016-06-05,13.95
2016-06-04,13.81
2016-06-03,13.84
2016-06-02,13.8
2016-06-01,13.85
2016-05-31,14.01
2016-05-30,12.72
2016-05-29,12.41
2016-05-28,11.98
2016-05-27,11.12
2016-05-26,12.48
2016-05-25,12.49
2016-05-24,12.73
2016-05-23,13.42
2016-05-22,14.21
2016-05-21,14
2016-05-20,13.79
2016-05-19,14.58
2016-05-18,13.35
2016-05-17,12.08
2016-05-16,11.09
2016-05-15,9.97
2016-05-14,10.16
2016-05-13,10.6
2016-05-12,10.04
2016-05-11,9.89
2016-05-10,9.38
2016-05-09,9.32
2016-05-08,9.5
2016-05-07,9.35
2016-05-06,9.35
2016-05-05,9.79
2016-05-04,9.46
2016-05-03,9.34
2016-05-02,10
2016-05-01,8.75
2016-04-30,8.87
2016-04-29,7.52
2016-04-28,7.33
2016-04-27,7.8
2016-04-26,7.5
2016-04-25,7.54
2016-04-24,8.1
2016-04-23,8.46
2016-04-22,7.97
2016-04-21,8.11
2016-04-20,8.61
2016-04-19,8.71
2016-04-18,8.97
2016-04-17,9.46
2016-04-16,8.54
2016-04-15,8.32
2016-04-14,8.46
2016-04-13,8.09
2016-04-12,7.53
2016-04-11,8.68
2016-04-10,8.76
2016-04-09,9.15
2016-04-08,9.71
2016-04-07,10.12
2016-04-06,10.76
2016-04-05,10.4
2016-04-04,11.15
2016-04-03,11.75
2016-04-02,11.61
2016-04-01,11.62
2016-03-31,11.41
2016-03-30,11.85
2016-03-29,11.79
2016-03-28,11.62
2016-03-27,10.4
2016-03-26,11
2016-03-25,10.67
2016-03-24,11.2
2016-03-23,12.43
2016-03-22,11.37
2016-03-21,11.95
2016-03-20,10.18
2016-03-19,10.31
2016-03-18,10.74
2016-03-17,10.74
2016-03-16,12.88
2016-03-15,13.06
2016-03-14,12.5
2016-03-13,15.07
2016-03-12,12.92
2016-03-11,11.95
2016-03-10,11.75
2016-03-09,11.2
