Date,Open,Close,,
2017-09-28 02:00:00,4237.77,4245.08,28,0
2017-09-28 01:00:00,4251.5,4237.77,28,0
2017-09-28 00:00:00,4197.99,4251.5,28,0
2017-09-27 23:00:00,4169.8,4197.99,27,1
2017-09-27 22:00:00,4180.03,4169.8,27,0
2017-09-27 21:00:00,4179.05,4180.03,27,0
2017-09-27 20:00:00,4200,4179.05,27,0
2017-09-27 19:00:00,4199.02,4200,27,0
2017-09-27 18:00:00,4189.98,4199.02,27,0
2017-09-27 17:00:00,4154.27,4189.98,27,0
2017-09-27 16:00:00,4182.01,4154.27,27,0
2017-09-27 15:00:00,4184.51,4182.01,27,0
2017-09-27 14:00:00,4089.92,4184.51,27,0
2017-09-27 13:00:00,4084.97,4089.92,27,0
2017-09-27 12:00:00,4073.78,4084.97,27,0
2017-09-27 11:00:00,4092,4073.78,27,0
2017-09-27 10:00:00,4055.16,4092,27,0
2017-09-27 09:00:00,4079.72,4055.16,27,0
2017-09-27 08:00:00,4078.86,4079.72,27,0
2017-09-27 07:00:00,4058.88,4078.86,27,0
2017-09-27 06:00:00,3956.25,4058.88,27,0
2017-09-27 05:00:00,3934.69,3956.25,27,0
2017-09-27 04:00:00,3939.58,3934.69,27,0
2017-09-27 03:00:00,3936.51,3939.58,27,0
2017-09-27 02:00:00,3941,3936.51,27,0
2017-09-27 01:00:00,3938.55,3941,27,0
2017-09-27 00:00:00,3936.36,3938.55,27,0
2017-09-26 23:00:00,3910.03,3936.36,26,1
2017-09-26 22:00:00,3905.01,3910.03,26,0
2017-09-26 21:00:00,3904.06,3905.01,26,0
2017-09-26 20:00:00,3885.09,3904.06,26,0
2017-09-26 19:00:00,3888.01,3885.09,26,0
2017-09-26 18:00:00,3915.99,3888.01,26,0
2017-09-26 17:00:00,3908.39,3915.99,26,0
2017-09-26 16:00:00,3914.01,3908.39,26,0
2017-09-26 15:00:00,3910.05,3914.01,26,0
2017-09-26 14:00:00,3920.11,3910.05,26,0
2017-09-26 13:00:00,3909.49,3920.11,26,0
2017-09-26 12:00:00,3927.33,3909.49,26,0
2017-09-26 11:00:00,3940.79,3927.33,26,0
2017-09-26 10:00:00,3943.14,3940.79,26,0
2017-09-26 09:00:00,3955.81,3943.14,26,0
2017-09-26 08:00:00,3946,3955.81,26,0
2017-09-26 07:00:00,3940.01,3946,26,0
2017-09-26 06:00:00,3925.99,3940.01,26,0
2017-09-26 05:00:00,3919.54,3925.99,26,0
2017-09-26 04:00:00,3922.76,3919.54,26,0
2017-09-26 03:00:00,3890.03,3922.76,26,0
2017-09-26 02:00:00,3857.01,3890.03,26,0
2017-09-26 01:00:00,3913,3857.01,26,0
2017-09-26 00:00:00,3908.2,3913,26,0
2017-09-25 23:00:00,3939.98,3908.2,25,1
2017-09-25 22:00:00,3932,3939.98,25,0
2017-09-25 21:00:00,3928.01,3932,25,0
2017-09-25 20:00:00,3919.78,3928.01,25,0
2017-09-25 19:00:00,3924.01,3919.78,25,0
2017-09-25 18:00:00,3953.94,3924.01,25,0
2017-09-25 17:00:00,3938.02,3953.94,25,0
2017-09-25 16:00:00,3929.24,3938.02,25,0
2017-09-25 15:00:00,3902.89,3929.24,25,0
2017-09-25 14:00:00,3888.42,3902.89,25,0
2017-09-25 13:00:00,3908.07,3888.42,25,0
2017-09-25 12:00:00,3929.94,3908.07,25,0
2017-09-25 11:00:00,3929,3929.94,25,0
2017-09-25 10:00:00,3770,3929,25,0
2017-09-25 09:00:00,3774.85,3770,25,0
2017-09-25 08:00:00,3764,3774.85,25,0
2017-09-25 07:00:00,3775.13,3764,25,0
2017-09-25 06:00:00,3775.13,3775.13,25,0
2017-09-25 05:00:00,3775.13,3775.13,25,0
2017-09-25 04:00:00,3775.13,3775.13,25,0
2017-09-25 03:00:00,3773.07,3775.13,25,0
2017-09-25 02:00:00,3773.8,3773.07,25,0
2017-09-25 01:00:00,3789.99,3773.8,25,0
2017-09-25 00:00:00,3763.97,3789.99,25,0
2017-09-24 23:00:00,3764.03,3763.97,24,1
2017-09-24 22:00:00,3690.01,3764.03,24,0
2017-09-24 21:00:00,3676.97,3690.01,24,0
2017-09-24 20:00:00,3669.01,3676.97,24,0
2017-09-24 19:00:00,3693.38,3669.01,24,0
2017-09-24 18:00:00,3670.12,3693.38,24,0
2017-09-24 17:00:00,3669.85,3670.12,24,0
2017-09-24 16:00:00,3692.92,3669.85,24,0
2017-09-24 15:00:00,3676.44,3692.92,24,0
2017-09-24 14:00:00,3694.01,3676.44,24,0
2017-09-24 13:00:00,3703.59,3694.01,24,0
2017-09-24 12:00:00,3707.48,3703.59,24,0
2017-09-24 11:00:00,3700.82,3707.48,24,0
2017-09-24 10:00:00,3716.97,3700.82,24,0
2017-09-24 09:00:00,3690.57,3716.97,24,0
2017-09-24 08:00:00,3685.29,3690.57,24,0
2017-09-24 07:00:00,3645.89,3685.29,24,0
2017-09-24 06:00:00,3667.36,3645.89,24,0
2017-09-24 05:00:00,3669.4,3667.36,24,0
2017-09-24 04:00:00,3662.5,3669.4,24,0
2017-09-24 03:00:00,3644.42,3662.5,24,0
2017-09-24 02:00:00,3696.78,3644.42,24,0
2017-09-24 01:00:00,3688.7,3696.78,24,0
2017-09-24 00:00:00,3783.03,3688.7,24,0
2017-09-23 23:00:00,3773.01,3783.03,23,1
2017-09-23 22:00:00,3773.98,3773.01,23,0
2017-09-23 21:00:00,3759.01,3773.98,23,0
2017-09-23 20:00:00,3787.33,3759.01,23,0
2017-09-23 19:00:00,3755.99,3787.33,23,0
2017-09-23 18:00:00,3744.19,3755.99,23,0
2017-09-23 17:00:00,3779.14,3744.19,23,0
2017-09-23 16:00:00,3772.7,3779.14,23,0
2017-09-23 15:00:00,3754.26,3772.7,23,0
2017-09-23 14:00:00,3744.49,3754.26,23,0
2017-09-23 13:00:00,3777.54,3744.49,23,0
2017-09-23 12:00:00,3750.01,3777.54,23,0
2017-09-23 11:00:00,3784.47,3750.01,23,0
2017-09-23 10:00:00,3797.5,3784.47,23,0
2017-09-23 09:00:00,3781.99,3797.5,23,0
2017-09-23 08:00:00,3800,3781.99,23,0
2017-09-23 07:00:00,3769.76,3800,23,0
2017-09-23 06:00:00,3725.71,3769.76,23,0
2017-09-23 05:00:00,3741.16,3725.71,23,0
2017-09-23 04:00:00,3701.1,3741.16,23,0
2017-09-23 03:00:00,3710.47,3701.1,23,0
2017-09-23 02:00:00,3699.99,3710.47,23,0
2017-09-23 01:00:00,3708.79,3699.99,23,0
